name,cuisine,category,location,city,price,lat,lng,rating
Taiyaki,Japanese,Desserts,Chinatown,New York City,1,40.7179112,-73.9988653,
Spaghetti Incident,Italian,Lunch/Dinner,LES,New York City,2,40.722402,-73.9899587,
Sonnyboy,Australian,Brunch|Lunch/Dinner,LES,New York City,2,40.7205154,-73.9901841,
Davelle,Japanese,Brunch|Cafe,LES,New York City,2,40.7185385,-73.9860676,
Sweet Chick,American,Quick Bites,LES,New York City,2,40.7217009,-73.9872776,
Macchina,Italian,Lunch/Dinner,Kips Bay,New York City,2,40.7409157,-73.9814139,
Bao Bao Cafe,Asian,Lunch/Dinner,Kips Bay,New York City,1,40.7408627,-73.9835112,
Caffe Buon Gusto,Italian,Lunch/Dinner,Upper East Side,New York City,2,40.7723218,-73.9573756,
Mamasita Bar & Grill,Mexican,Lunch/Dinner,Hell's Kitchen,New York City,2,40.7673678,-73.9895115,
Bibble & Sip,Bakery,Desserts|Quick Bites,Hell's Kitchen|Little Italy,New York City,2,40.7628415,-73.9851781,
Lafayette Grand Cafe,Bakery|French,Lunch/Dinner|Desserts|Cafe|Brunch,Noho,New York City,3,40.7275934,-73.9937017,
Casa La Femme,Middle Eastern,Lunch/Dinner|Date Night,Greenwich Village,New York City,3,40.734147,-74.0080251,
Supermoon Bakehouse,Bakery,Desserts|Cafe,LES,New York City,2,40.7198453,-73.9872386,
Tacombi,Mexican,Lunch/Dinner|Drinks|Date Night,Nolita|Greenwich Village|Nomad|FiDi,New York City,2,40.7311167,-74.002714,
Tacombi,Mexican,Lunch/Dinner|Drinks|Date Night,Nolita|Greenwich Village|Nomad|FiDi,New York City,2,40.7429556,-73.9911351,
Ruby's Cafe,Australian,Lunch/Dinner|Brunch,Nolita|East Village|Kips Bay,New York City,2,40.7310755,-73.9883598,
Joe's Pizza,Pizza,Quick Bites,South Village|East Village|Midtown,New York City,1,40.7332362,-73.9876852,
Joe's Pizza,Pizza,Quick Bites,South Village|East Village|Midtown,New York City,1,40.7546287,-73.9869994,
Jack's Wife Freda,Mediterranean,Brunch,Greenwich Village|Soho,New York City,3,40.7298168,-74.003516,
Prince Tea House,Tea,Desserts|Tea,East Village|Soho,New York City,2,40.7294468,-73.9863997,
Spicy Moon,Chinese|Vegan,Lunch/Dinner,East Village|Greenwich Village,New York City,1,40.7293583,-73.9983012,
Citizens Of,Australian,Brunch,Greenwich Village|Soho|Chelsea|Gramercy,New York City,2,40.7366225,-73.9815203,
Citizens Of,Australian,Brunch,Greenwich Village|Soho|Chelsea|Gramercy,New York City,2,40.7480151,-74.0005534,
Citizens Of,Australian,Brunch,Greenwich Village|Soho|Chelsea|Gramercy,New York City,2,40.721327,-73.9976499,
Jajaja,Mexican|Vegan,Lunch/Dinner,South Village|LES,New York City,2,40.7298848,-74.0046039,
Raku,Japanese|Udon,Lunch/Dinner,South Village|East Village,New York City,2,40.7272479,-74.0025495,
