name,cuisine,category,location,price,lat,lng,rating
Uji Time Dessert,Japanese,Desserts|Quick Bites,Japantown|Yerba Buena,1,37.784291,-122.4035472,4.0
The Madrigal,Bar,Bar|Drinks,Civic Center,2,37.7767256,-122.4192093,3.9
Noosh,Mediterranean,Lunch/Dinner|Brunch|Date Night|Drinks,Lower Pacific Heights,2,37.7880414,-122.4338098,4.0
On the Bridge,Japanese,Lunch/Dinner|Drinks,Japantown,2,37.7850467,-122.4316452,4.0
Jikasei Mensho,Japanese|Ramen,Quick Bites|Lunch/Dinner,Soma,2,37.7763173,-122.4167676,3.8
Good Mong Kok Bakery,Chinese|Dim Sum,Lunch/Dinner|Quick Bites|To Share,Chinatown,1,37.795455,-122.408356,3.7
Dim Sum Bistro,Chinese|Dim Sum,Lunch/Dinner|Quick Bites|To Share,Chinatown,1,37.7975803,-122.4081677,3.7
Miss Saigon,Vietnamese,Lunch/Dinner,Soma,1,37.7807802,-122.408721,4.0
Burma Superstar,Burmese|Southeast Asian,Lunch/Dinner,Inner Richmond,2,37.78281399999999,-122.4625643,4.0
LITTLE SWEET,Tea|Asian,Desserts|Tea|Quick Bites,Inner Richmond|Union Square|Inner Sunset,2,37.7865938,-122.4059587,3.8
LITTLE SWEET,Tea|Asian,Desserts|Tea|Quick Bites,Inner Richmond|Union Square|Inner Sunset,2,37.7649409,-122.46666,3.8
LITTLE SWEET,Tea|Asian,Desserts|Tea|Quick Bites,Inner Richmond|Union Square|Inner Sunset,2,37.7814126,-122.4606499,3.8
Wilder,American|Bar,Bar|Brunch|Drinks|Lunch/Dinner,Marina/Cow Hollow,2,37.79881650000001,-122.4357307,3.7
BAIA,Italian|Vegan,Date Night,Hayes Valley,2,37.7781634,-122.4217955,4.2
State Bird Provisions,American,To Share|Lunch/Dinner,Western Addition,3,37.7836806,-122.4330028,4.3
Kahnfections,Bakery,Brunch|Quick Bites|Cafe,Mission,1,37.7587553,-122.4152538,4.1
Wooden Spoon,American,Brunch,Duboce Triangle,2,37.7666797,-122.4305067,4.0
Alnico,Asian|American,Brunch|Drinks,Mission,2,37.755944,-122.421318,4.2
um.ma,Korean,Lunch/Dinner|Drinks|To Share,Inner Sunset,2,37.7655061,-122.466241,4.3
Lao Table,Southeast Asian|Laotian,Lunch/Dinner|Drinks,Fidi,2,37.7874903,-122.3987098,3.9
Che Fico,Italian,Date Night|Drinks|Lunch/Dinner,Nopa,3,37.7774971,-122.4380182,3.8
Korner Store,Korean|Bar,Bar|Quick Bites|To Share,Mission,1,37.7610855,-122.4217328,4.3
Blondie's Bar,Bar,Bar|Drinks,Mission,2,37.764216,-122.4221214,4.1
Cafe Hana,Tea|Coffee|Japanese,Tea|Quick Bites,Japantown,1,37.7851991,-122.4303062,4.0
Craftsman and Wolves,Bakery,Bakery|Quick Bites|Cafe|Brunch,Mission,2,37.7609056,-122.4216833,4.2
Dancing Yak,Nepalese,Lunch/Dinner|Date Night|Drinks|To Share,Mission,2,37.7685299,-122.4225396,4.0
Arcana,Bar|Wine,Bar|Drinks|Date Night,Mission,2,37.7567338,-122.4192231,4.4
Propagation,Bar,Bar|Drinks,Lower Nob Hill,2,37.7871798,-122.4164241,4.4
Shuggie's,American|Pizza,Lunch/Dinner|Drinks,Mission,3,37.7536884,-122.4195459,4.4
Happy Shabu Shabu,Japanese,To Share,Western Addition,2,37.7824491,-122.4326914,4.0
Automat,American|Bakery,Bakery|Brunch|Lunch/Dinner|Drinks,Nopa,2,37.7772103,-122.4419555,4.3
Mi Familia Taqueria,Mexican,Lunch/Dinner|Quick Bites,Haight-Ashbury,1,37.7693024,-122.451731,4.0
